"Level","given_name","family_name","dob","ecc_dur","mrsi","ecc_asymm","con_asymm","lan_asymm","ecc_side","con_side","lan_side","height","Athlete","sl_mrsi","sl_ecc_asymm","sl_con_asymm","sl_lan_asymm","sl_height_right","sl_height_left","sl_ecc_side","sl_con_side","sl_lan_side","sl_avg_height","sl_ecc_dur_left","sl_ecc_dur_right","sl_ecc_dur_avg"
"10","Addison","Catledge",2006-12-19,0.27670459528144,0.349866211994492,6.30361208464783,0.173176944245839,-2.83926970591855,1,1,0,11.8521647395061,"Addison Catledge",0.616626497444316,43.2504396379972,2.99917233413683,0.964933081477852,5.80447428700462,5.81425076501017,1,1,1,5.8093625260074,0.254426891759696,0.905839361254808,0.580133126507252
"10","Kennedi","Johnson",2006-12-07,0.435855424586964,0.54090856926754,18.4701257416908,56.4805873537378,25.4329843765203,1,1,1,5.46494290076549,"Kennedi Johnson",0.0820540414064047,-15.3189248424677,21.5917247434139,9.53292148836569,4.77174027487133,8.49809511956392,0,1,1,6.63491769721763,0.270864243987429,0.911876895310008,0.591370569648718
"9","Alexzandria","Albaugh",2009-05-24,0.700284325436621,0.404174701483076,-2.62682643004083,28.0287389311817,21.2518508640346,0,1,1,11.1838452183692,"Alexzandria Albaugh",0.466644029093925,-2.09247808212952,4.53231746012132,12.2824944686737,5.9905178550247,7.04158975420861,0,1,1,6.51605380461665,0.557376272958864,0.59053284963682,0.573954561297842
"9","Paige","Feemster",2009-03-17,0.310415145986014,0.374885068111077,-23.1502868238091,-16.9761430867964,23.6377063229386,0,0,1,14.3123607054886,"Paige Feemster",0.313259104888321,-1.2962084495907,-0.892569868892783,8.54949511125378,6.02499465569547,5.2489736980994,0,0,1,5.63698417689744,0.461971287857166,0.355013028854783,0.408492158355974
"9","Ellison","Ligon",2010-10-11,0.504836965702525,0.270285603892435,-9.944110041526,0.0446646176621218,33.3112435209542,0,1,1,12.5512212767701,"Ellison Ligon",0.402828133234027,-5.02227596662169,2.55651608212955,-38.6147271764364,5.96722899892262,5.14829039098857,0,1,0,5.5577596949556,0.160725158652075,0.595167672873453,0.377946415762764
"9","Fallon","Zimba",2008-05-12,0.498729878000445,0.185559561855072,9.30706271811569,12.6476406277561,38.8126301098704,1,1,1,12.412359855064,"Fallon Zimba",0.449135443700751,14.6782103439618,31.0316953859111,-1.26091233406143,6.92253913032858,7.51642198922537,1,1,0,7.21948055977698,0.756019305081636,0.583852191945909,0.669935748513772
"8","Meridith","Allen",2010-08-13,0.500252518353286,0.546421378614282,-4.67241878527811,1.94744632268078,-18.2051725358722,0,1,0,11.044503647504,"Meridith Allen",0.332792772519755,-15.9654303004737,22.5981663236592,-30.835857574529,6.31258170695719,6.39170975921796,0,1,0,6.35214573308758,0.51107164420655,0.735886081551282,0.623478862878916
"8","Gracelyn","Elias",2011-04-05,0.485951610490296,0.508646868194748,-8.56008615014096,7.58179116337206,-47.0837814413432,0,1,0,14.2575638821855,"Gracelyn Elias",0.406234182667888,-26.1495157236771,-20.8729530372802,10.5495372476201,5.86468947597532,4.62457285974852,0,0,1,5.24463116786192,0.281040114857812,0.374992631767484,0.328016373312648
"8","Arianna","Ferguson",2011-09-24,0.294232360370024,0.589072624116516,2.68579765942893,27.9923688191246,8.18226165860255,1,1,1,12.7632196193091,"Arianna Ferguson",0.172753611963236,-25.7734894924852,16.5304316838247,3.01364836457471,7.9163322744045,5.7562587629937,0,1,1,6.8362955186991,0.780879904958944,0.312060237992516,0.54647007147573
"8","Jenna","Falkowitz",2013-07-08,0.268323981097557,0.504554720074295,-9.60748532367755,25.2396291962946,12.0147059822773,0,1,1,13.0023049680106,"Jenna Falkowitz",0.498118094296563,11.8646674524079,15.0268119045241,9.29307085804025,6.81933245518968,5.82423902466265,1,1,1,6.32178573992616,0.21784212551749,0.655636233677696,0.436739179597593
"8","Hailey","Finnerty",2010-06-30,0.526212416309928,0.488105403528173,-19.1154744964759,6.70468697824744,-4.71663919772149,0,1,0,13.944144591114,"Hailey Finnerty",0.196494456388938,25.9494518299312,2.62232600363754,-0.686983465703557,4.57007436144484,5.05875661538159,1,1,0,4.81441548841321,0.881408388516765,0.365093666612739,0.623251027564752
